event_id,member_id,event_type,event_timestamp,enrollment_date,points_earned,transaction_amount,accrual_reason,accrual_category,accrual_multiplier,points_redeemed,redemption_value,redemption_type,tier_status,tier_qualified_date,referred_by_member_id,referral_bonus_amount,ip_address,device_fingerprint,geo_country,geo_city,welcome_bonus_points,fraud_label,signal_embedded
EVT-00000001,MBR-000294,accrual,2024-01-29 04:45:00,2022-05-14,284.0,30.42,purchase,Dining,1.0,0.0,0.0,,Bronze,,,0.0,219.212.212.165,DEV-114816,US,Seattle,0.0,clean,
EVT-00000002,MBR-000569,accrual,2023-07-22 22:31:00,2020-05-26,123.0,10.35,purchase,Retail,1.0,0.0,0.0,,Silver,,,0.0,49.129.84.10,DEV-520049,US,New York,0.0,clean,
EVT-00000003,MBR-000712,accrual,2024-06-25 15:22:00,2020-03-13,166.0,15.07,purchase,Gas,1.0,0.0,0.0,,Bronze,,,0.0,253.29.72.176,DEV-435082,US,Chicago,0.0,clean,
EVT-00000004,MBR-000722,accrual,2023-02-20 10:06:00,2020-08-15,381.0,43.25,purchase,Dining,1.0,0.0,0.0,,Bronze,,,0.0,136.165.242.7,DEV-343030,US,Houston,0.0,clean,
EVT-00000005,MBR-000082,accrual,2023-02-02 16:27:00,2021-12-15,276.0,33.74,purchase,Grocery,1.0,0.0,0.0,,Bronze,,,0.0,76.158.171.102,DEV-223963,US,Seattle,0.0,clean,
EVT-00000006,MBR-000875,accrual,2024-08-13 12:55:00,2022-07-23,153.0,16.11,purchase,Retail,1.0,0.0,0.0,,Silver,,,0.0,164.5.68.158,DEV-114610,US,Miami,0.0,clean,
EVT-00000007,MBR-000219,accrual,2024-12-04 22:27:00,2021-12-25,474.0,40.72,purchase,Gas,1.0,0.0,0.0,,Bronze,,,0.0,202.87.66.13,DEV-425843,US,Phoenix,0.0,clean,
EVT-00000008,MBR-000949,accrual,2023-11-06 06:35:00,2020-09-11,71.0,7.96,purchase,Grocery,1.0,0.0,0.0,,Bronze,,,0.0,187.226.219.165,DEV-225209,US,Miami,0.0,clean,
EVT-00000009,MBR-000020,accrual,2024-02-24 01:58:00,2021-06-24,467.0,54.24,purchase,Grocery,1.0,0.0,0.0,,Bronze,,,0.0,45.221.48.231,DEV-504706,US,Atlanta,0.0,clean,
EVT-00000010,MBR-000752,redemption,2024-08-23 12:48:00,2021-12-15,0.0,0.0,,,1.0,1593.0,15.93,merchandise,Bronze,,,0.0,127.233.98.108,DEV-794103,US,Boston,0.0,clean,
EVT-00000011,MBR-000600,redemption,2023-05-15 17:41:00,2020-09-05,0.0,0.0,,,1.0,549.0,5.49,travel,Bronze,,,0.0,13.33.237.225,DEV-624808,US,Phoenix,0.0,clean,
EVT-00000012,MBR-000653,accrual,2024-06-14 04:39:00,2021-02-07,92.0,8.28,purchase,Retail,1.0,0.0,0.0,,Bronze,,,0.0,227.170.195.11,DEV-302276,US,New York,0.0,clean,
EVT-00000013,MBR-000352,accrual,2024-09-02 06:42:00,2021-08-28,382.0,39.48,purchase,Gas,1.0,0.0,0.0,,Silver,,,0.0,10.145.201.97,DEV-622493,US,Boston,0.0,clean,
EVT-00000014,MBR-PF000,accrual,2023-06-11 11:42:00,2023-01-15,15821.0,158.21,bonus,Online,10.0,0.0,0.0,,Gold,,,0.0,135.228.149.78,DEV-616540,US,New York,0.0,fraud,point_farming
EVT-00000015,MBR-000683,accrual,2024-06-27 06:55:00,2021-10-01,394.0,35.85,purchase,Retail,1.0,0.0,0.0,,Silver,,,0.0,90.57.216.104,DEV-633613,US,Miami,0.0,clean,
EVT-00000016,MBR-000333,accrual,2023-06-13 04:50:00,2021-10-07,133.0,14.85,purchase,Retail,1.0,0.0,0.0,,Silver,,,0.0,52.3.12.200,DEV-639591,US,Miami,0.0,clean,
EVT-00000017,MBR-000479,accrual,2023-07-16 06:11:00,2021-06-08,373.0,35.58,purchase,Online,1.0,0.0,0.0,,Bronze,,,0.0,243.19.188.112,DEV-266720,US,Miami,0.0,clean,
EVT-00000018,MBR-000628,accrual,2023-11-17 06:14:00,2020-01-17,476.0,54.72,purchase,Travel,1.0,0.0,0.0,,Bronze,,,0.0,25.124.105.213,DEV-324201,US,Boston,0.0,clean,
EVT-00000019,MBR-000214,accrual,2023-09-18 13:37:00,2022-03-06,343.0,33.37,purchase,Gas,1.0,0.0,0.0,,Silver,,,0.0,132.236.57.205,DEV-950050,US,Seattle,0.0,clean,
